Design,nRAS,nBTBEntries,nBHTEntries,nICacheSets,nICacheWays,nICacheTLBWays,MulDivUnroll,useVM,nDCacheSets,nDCacheWays,nDCacheTLBWays,nMSHRs,chipfinish_Total_Area,cts_Total_Area,floorplan_Total_Area,placement_Total_Area,route_Total_Area,chipfinish_Fast_Total_Power(nW),chipfinish_Slow_Total_Power(nW),chipfinish_Typical_Total_Power(nW),cts_Fast_Total_Power(nW),cts_Slow_Total_Power(nW),cts_Typical_Total_Power(nW),floorplan_Fast_Total_Power(nW),floorplan_Slow_Total_Power(nW),floorplan_Typical_Total_Power(nW),placement_Fast_Total_Power(nW),placement_Slow_Total_Power(nW),placement_Typical_Total_Power(nW),route_Fast_Total_Power(nW),route_Slow_Total_Power(nW),route_Typical_Total_Power(nW),chipfinish_FUNC_Fast_(Setup)_WNS,chipfinish_FUNC_Slow_(Setup)_WNS,chipfinish_FUNC_Typical_(Setup)_WNS,cts_FUNC_Fast_(Setup)_WNS,cts_FUNC_Slow_(Setup)_WNS,cts_FUNC_Typical_(Setup)_WNS,floorplan_FUNC_Fast_(Setup)_WNS,floorplan_FUNC_Slow_(Setup)_WNS,floorplan_FUNC_Typical_(Setup)_WNS,floorplan.zwlm_FUNC_Fast_(Setup)_WNS,floorplan.zwlm_FUNC_Slow_(Setup)_WNS,floorplan.zwlm_FUNC_Typical_(Setup)_WNS,placement_FUNC_Fast_(Setup)_WNS,placement_FUNC_Slow_(Setup)_WNS,placement_FUNC_Typical_(Setup)_WNS,route_FUNC_Fast_(Setup)_WNS,route_FUNC_Slow_(Setup)_WNS,route_FUNC_Typical_(Setup)_WNS,route.no_si_FUNC_Fast_(Setup)_WNS,route.no_si_FUNC_Slow_(Setup)_WNS,route.no_si_FUNC_Typical_(Setup)_WNS,Frequency
RocketTile_116,12.0,56.0,128.0,32.0,4.0,12.0,8.0,0.0,32.0,4.0,24.0,1.0,50411.2378,50411.2378,50411.2378,50411.2378,50411.2378,51649000.0,23770000.0,32919000.0,51403000.0,23611000.0,32688000.0,47400000.0,22150000.0,30707000.0,51197000.0,22251000.0,31526000.0,51635000.0,23764000.0,32909000.0,0.1144,-0.075,0.0563,0.1124,-0.0734,0.0496,-0.5641,-1.4017,-0.8326,0.0183,-0.4048,-0.1103,0.1382,-0.0548,0.0855,0.1152,-0.0727,0.0575,0.1365,-0.0584,0.0763,1600
RocketTile_117,12.0,0.0,128.0,32.0,1.0,8.0,8.0,1.0,64.0,1.0,24.0,1.0,27284.9242,27284.9242,27284.9242,27284.9242,27284.9242,25459000.0,10102000.0,14740000.0,25481000.0,9948800.0,14564000.0,22307000.0,8693000.0,12941000.0,25703000.0,8802400.0,13713000.0,25455000.0,10100000.0,14736000.0,0.1569,-0.0428,0.0934,0.1548,-0.0409,0.0934,-0.5203,-1.1569,-0.7448,0.0317,-0.3849,-0.0977,0.1667,-0.0281,0.1051,0.1575,-0.0395,0.0949,0.1661,-0.0333,0.1029,1600
RocketTile_118,6.0,0.0,512.0,32.0,2.0,32.0,4.0,1.0,64.0,4.0,12.0,2.0,49340.6136,49340.6136,49340.6136,49340.6136,49340.6136,46108000.0,20203000.0,28590000.0,45833000.0,19982000.0,28292000.0,41681000.0,18504000.0,26259000.0,45470000.0,18607000.0,27110000.0,46096000.0,20198000.0,28583000.0,0.1091,-0.0787,0.0517,0.1103,-0.0642,0.0532,-0.5957,-1.3063,-0.8182,0.0118,-0.3656,-0.1102,0.1515,-0.054,0.0897,0.1102,-0.0744,0.0531,0.1308,-0.0605,0.0693,1600
RocketTile_119,0.0,42.0,128.0,64.0,1.0,20.0,4.0,0.0,32.0,2.0,20.0,3.0,31513.5216,31513.5216,31513.5216,31513.5216,31513.5216,33341000.0,14724000.0,21064000.0,33319000.0,14608000.0,20922000.0,30327000.0,13496000.0,19418000.0,33467000.0,13666000.0,20194000.0,33334000.0,14722000.0,21060000.0,0.1332,-0.0537,0.0767,0.1285,-0.0407,0.0702,-0.4694,-1.151,-0.686,-0.0006,-0.4609,-0.1393,0.1593,-0.0262,0.1052,0.1347,-0.0523,0.0774,0.1407,-0.0345,0.0834,1600
RocketTile_120,9.0,0.0,128.0,64.0,1.0,24.0,4.0,0.0,64.0,1.0,20.0,2.0,27769.716,27769.716,27769.716,27769.716,27769.716,26678000.0,10845000.0,15876000.0,26836000.0,10737000.0,15777000.0,23837000.0,9791700.0,14417000.0,26808000.0,9891200.0,15097000.0,26673000.0,10843000.0,15873000.0,0.1441,-0.043,0.1033,0.152,-0.0217,0.0983,-0.53,-1.2201,-0.751,-0.0067,-0.4405,-0.1331,0.1655,-0.0139,0.1134,0.1452,-0.0399,0.104,0.161,-0.0209,0.1114,1600
RocketTile_121,0.0,28.0,0.0,32.0,2.0,4.0,4.0,1.0,64.0,2.0,16.0,2.0,38344.4928,38344.4928,38344.4928,38344.4928,38344.4928,37487000.0,16161000.0,23077000.0,37608000.0,16000000.0,22909000.0,34073000.0,14751000.0,21214000.0,37487000.0,14823000.0,21957000.0,37478000.0,16157000.0,23071000.0,0.1427,-0.066,0.0832,0.1378,-0.0655,0.0709,-0.5113,-1.1934,-0.7366,-0.0202,-0.4392,-0.1556,0.1557,-0.0397,0.0937,0.1455,-0.0639,0.0841,0.1625,-0.0544,0.1005,1600
RocketTile_122,0.0,56.0,512.0,64.0,1.0,28.0,4.0,1.0,32.0,2.0,8.0,3.0,34723.8893,34723.8893,34723.8893,34723.8893,34723.8893,37305000.0,16224000.0,23414000.0,37195000.0,16051000.0,23187000.0,33892000.0,14698000.0,21431000.0,37555000.0,14853000.0,22297000.0,37289000.0,16217000.0,23404000.0,0.1237,-0.0842,0.0644,0.119,-0.0735,0.0551,-0.4348,-1.0972,-0.6487,0.0157,-0.4124,-0.1186,0.1492,-0.0549,0.0871,0.124,-0.0839,0.0651,0.1425,-0.077,0.08,1600
RocketTile_123,6.0,56.0,1024.0,32.0,4.0,16.0,8.0,0.0,32.0,4.0,20.0,2.0,52639.272,52639.272,52639.272,52639.272,52639.272,59662000.0,27906000.0,38631000.0,59317000.0,27697000.0,38342000.0,1140900000.0,754170000.0,934130000.0,1144600000.0,754250000.0,934960000.0,59641000.0,27896000.0,38616000.0,0.1123,-0.096,0.0521,0.097,-0.1018,0.0317,-187.7093,-373.3691,-227.8892,-0.0087,-0.4464,-0.1387,0.1459,-0.0634,0.0811,0.1131,-0.0949,0.0532,0.1253,-0.0862,0.0627,1600
RocketTile_124,0.0,42.0,0.0,64.0,1.0,24.0,4.0,1.0,64.0,2.0,4.0,1.0,34528.5115,34528.5115,34528.5115,34528.5115,34528.5115,30050000.0,11982000.0,17412000.0,30090000.0,11821000.0,17225000.0,26525000.0,10530000.0,15465000.0,30013000.0,10666000.0,16308000.0,30051000.0,11982000.0,17412000.0,0.1419,-0.043,0.0867,0.1446,-0.0437,0.0883,-0.3963,-1.021,-0.608,-0.0073,-0.4501,-0.1442,0.1388,-0.0472,0.0807,0.1432,-0.0414,0.088,0.1566,-0.0304,0.1045,1600
RocketTile_125,6.0,14.0,0.0,64.0,4.0,8.0,4.0,1.0,64.0,2.0,20.0,1.0,53095.9104,53095.9104,53095.9104,53095.9104,53095.9104,46518000.0,19915000.0,28209000.0,46583000.0,19730000.0,28016000.0,42536000.0,18191000.0,25932000.0,46429000.0,18300000.0,26809000.0,46504000.0,19909000.0,28200000.0,0.121,-0.0606,0.0748,0.1271,-0.0463,0.0762,-0.4744,-1.1675,-0.6742,-0.0158,-0.4361,-0.1495,0.1573,-0.0312,0.1013,0.1216,-0.0581,0.0756,0.1348,-0.0435,0.0863,1600
RocketTile_126,6.0,0.0,512.0,32.0,2.0,32.0,4.0,0.0,64.0,1.0,28.0,3.0,31907.7792,31907.7792,31907.7792,31907.7792,31907.7792,34691000.0,15133000.0,21769000.0,34693000.0,15009000.0,21620000.0,31572000.0,14050000.0,20254000.0,34546000.0,14123000.0,20904000.0,34683000.0,15129000.0,21764000.0,0.1232,-0.0675,0.0732,0.142,-0.0595,0.0803,-0.4731,-1.0925,-0.6876,-0.0127,-0.449,-0.1532,0.1563,-0.0411,0.0966,0.1253,-0.0662,0.0741,0.1593,-0.055,0.0951,1600
RocketTile_127,3.0,28.0,256.0,32.0,2.0,8.0,4.0,0.0,64.0,2.0,16.0,2.0,37274.6621,37274.6621,37274.6621,37274.6621,37274.6621,37134000.0,16039000.0,22826000.0,37099000.0,15897000.0,22662000.0,33746000.0,14769000.0,21105000.0,37295000.0,14822000.0,21839000.0,37125000.0,16035000.0,22820000.0,0.1148,-0.092,0.0484,0.104,-0.1079,0.0353,-0.3914,-1.0385,-0.5984,0.0041,-0.403,-0.1275,0.1568,-0.0579,0.0921,0.1152,-0.0906,0.0492,0.1265,-0.0842,0.0598,1600
RocketTile_128,6.0,14.0,512.0,64.0,2.0,32.0,8.0,0.0,32.0,4.0,16.0,2.0,45420.7738,45420.7738,45420.7738,45420.7738,45420.7738,45594000.0,20491000.0,28719000.0,45483000.0,20340000.0,28530000.0,42081000.0,19139000.0,26837000.0,45699000.0,19185000.0,27595000.0,45584000.0,20487000.0,28713000.0,0.1031,-0.0867,0.0378,0.087,-0.1061,0.0197,-0.6697,-1.3735,-0.8969,0.0012,-0.427,-0.126,0.1359,-0.0588,0.0802,0.1038,-0.0857,0.0386,0.1081,-0.0832,0.0444,1600
RocketTile_129,12.0,56.0,1024.0,32.0,1.0,8.0,8.0,0.0,64.0,1.0,12.0,2.0,29531.5632,29531.5632,29531.5632,29531.5632,29531.5632,33484000.0,14254000.0,20488000.0,33503000.0,14082000.0,20297000.0,1116200000.0,740870000.0,916560000.0,1119400000.0,740930000.0,917320000.0,33468000.0,14248000.0,20478000.0,0.1356,-0.0578,0.0871,0.1455,-0.0485,0.0874,-187.7181,-373.547,-227.8871,0.0156,-0.422,-0.1217,0.1615,-0.0363,0.1022,0.1363,-0.0562,0.0877,0.1517,-0.0446,0.0948,1600
