Design,nRAS,nBTBEntries,nBHTEntries,nICacheSets,nICacheWays,nICacheTLBWays,MulDivUnroll,useVM,nDCacheSets,nDCacheWays,nDCacheTLBWays,nMSHRs,chipfinish_Total_Area,cts_Total_Area,floorplan_Total_Area,placement_Total_Area,route_Total_Area,chipfinish_Fast_Total_Power(nW),chipfinish_Slow_Total_Power(nW),chipfinish_Typical_Total_Power(nW),cts_Fast_Total_Power(nW),cts_Slow_Total_Power(nW),cts_Typical_Total_Power(nW),floorplan_Fast_Total_Power(nW),floorplan_Slow_Total_Power(nW),floorplan_Typical_Total_Power(nW),placement_Fast_Total_Power(nW),placement_Slow_Total_Power(nW),placement_Typical_Total_Power(nW),route_Fast_Total_Power(nW),route_Slow_Total_Power(nW),route_Typical_Total_Power(nW),chipfinish_FUNC_Fast_(Setup)_WNS,chipfinish_FUNC_Slow_(Setup)_WNS,chipfinish_FUNC_Typical_(Setup)_WNS,cts_FUNC_Fast_(Setup)_WNS,cts_FUNC_Slow_(Setup)_WNS,cts_FUNC_Typical_(Setup)_WNS,floorplan_FUNC_Fast_(Setup)_WNS,floorplan_FUNC_Slow_(Setup)_WNS,floorplan_FUNC_Typical_(Setup)_WNS,placement_FUNC_Fast_(Setup)_WNS,placement_FUNC_Slow_(Setup)_WNS,placement_FUNC_Typical_(Setup)_WNS,route_FUNC_Fast_(Setup)_WNS,route_FUNC_Slow_(Setup)_WNS,route_FUNC_Typical_(Setup)_WNS,Frequency
RocketTile_100,6.0,42.0,128.0,32.0,1.0,8.0,8.0,0.0,32.0,1.0,12.0,1.0,25109.0928,25109.0928,25109.0928,25109.0928,25109.0928,24969000.0,10004000.0,14537000.0,24993000.0,9860100.0,14377000.0,21784000.0,8743900.0,12871000.0,25310000.0,8865500.0,13664000.0,24961000.0,10001000.0,14532000.0,0.1478,-0.0573,0.091,0.1518,-0.0409,0.0898,-0.4489,-1.2257,-0.7003,0.1675,-0.0239,0.1098,0.1491,-0.0567,0.0923,1600
RocketTile_101,6.0,0.0,128.0,32.0,1.0,20.0,8.0,1.0,64.0,1.0,32.0,1.0,27576.0893,27576.0893,27576.0893,27576.0893,27576.0893,25474000.0,9996200.0,14680000.0,25484000.0,9850100.0,14500000.0,22534000.0,8724200.0,13025000.0,25816000.0,8817100.0,13772000.0,25478000.0,9998200.0,14682000.0,0.1275,-0.0786,0.0637,0.1176,-0.0868,0.0501,-0.3358,-0.9359,-0.5337,0.1463,-0.0522,0.084,0.1281,-0.0748,0.0652,1600
RocketTile_102,9.0,56.0,256.0,64.0,2.0,4.0,4.0,1.0,64.0,2.0,28.0,1.0,42963.9552,42963.9552,42963.9552,42963.9552,42963.9552,37868000.0,15455000.0,22219000.0,37798000.0,15252000.0,21967000.0,34207000.0,13842000.0,20157000.0,38160000.0,13947000.0,21059000.0,37858000.0,15451000.0,22212000.0,0.1277,-0.0682,0.0729,0.1136,-0.0785,0.0505,-0.5881,-1.2788,-0.7938,0.1605,-0.0352,0.0982,0.1283,-0.0663,0.0736,1600
RocketTile_103,0.0,28.0,1024.0,64.0,1.0,12.0,8.0,1.0,32.0,1.0,16.0,2.0,29230.2202,29230.2202,29230.2202,29230.2202,29230.2202,29620000.0,12104000.0,17713000.0,29719000.0,11954000.0,17560000.0,26339000.0,10648000.0,15833000.0,29710000.0,10733000.0,16592000.0,29614000.0,12101000.0,17709000.0,0.1394,-0.0556,0.0818,0.1316,-0.0571,0.0678,-0.5281,-1.2491,-0.7638,0.1455,-0.0303,0.092,0.1411,-0.0538,0.083,1600
RocketTile_104,3.0,0.0,512.0,64.0,4.0,4.0,8.0,0.0,64.0,4.0,8.0,2.0,62272.4544,62272.4544,62272.4544,62272.4544,62272.4544,54440000.0,24161000.0,33917000.0,54492000.0,24021000.0,33774000.0,50521000.0,22762000.0,31933000.0,53957000.0,22881000.0,32726000.0,54425000.0,24154000.0,33907000.0,0.1119,-0.1006,0.0201,0.1102,-0.0962,0.0469,-0.6283,-1.3869,-0.8663,0.1346,-0.0373,0.0899,0.1172,-0.092,0.0256,1600
RocketTile_105,12.0,14.0,128.0,32.0,2.0,4.0,8.0,1.0,64.0,1.0,20.0,2.0,34660.1952,34660.1952,34660.1952,34660.1952,34660.1952,36174000.0,15034000.0,21905000.0,36136000.0,14843000.0,21649000.0,32261000.0,13515000.0,19758000.0,36043000.0,13593000.0,20591000.0,36164000.0,15030000.0,21899000.0,0.1234,-0.0492,0.0741,0.1306,-0.0509,0.0746,-0.5692,-1.2682,-0.7999,0.1605,-0.0489,0.0981,0.1238,-0.0483,0.0748,1600
RocketTile_106,6.0,28.0,1024.0,64.0,1.0,12.0,8.0,0.0,64.0,4.0,8.0,2.0,45820.6128,45820.6128,45820.6128,45820.6128,45820.6128,44346000.0,19597000.0,27579000.0,44462000.0,19458000.0,27445000.0,1126700000.0,746260000.0,923630000.0,1130300000.0,746330000.0,924450000.0,44337000.0,19594000.0,27573000.0,0.0779,-0.0895,0.0348,0.149,-0.0515,0.0887,-187.8043,-372.9757,-227.8192,0.1491,-0.0322,0.0933,0.0787,-0.0881,0.0324,1600
RocketTile_107,0.0,42.0,128.0,64.0,2.0,28.0,8.0,0.0,32.0,1.0,32.0,2.0,32749.236,32749.236,32749.236,32749.236,32749.236,31149000.0,13073000.0,18868000.0,31157000.0,12956000.0,18728000.0,28460000.0,12036000.0,17460000.0,31323000.0,12077000.0,18048000.0,31144000.0,13071000.0,18864000.0,0.1464,-0.0456,0.0877,0.1284,-0.0526,0.0661,-0.4574,-1.1328,-0.6741,0.1615,-0.0341,0.1008,0.1465,-0.0441,0.0882,1600
RocketTile_108,12.0,14.0,0.0,64.0,4.0,8.0,8.0,0.0,32.0,2.0,4.0,3.0,50488.0646,50488.0646,50488.0646,50488.0646,50488.0646,50005000.0,22357000.0,31675000.0,49889000.0,22212000.0,31492000.0,46572000.0,21079000.0,29864000.0,49672000.0,21164000.0,30561000.0,49995000.0,22352000.0,31668000.0,0.1092,-0.0722,0.0578,0.1169,-0.0691,0.0555,-0.5566,-1.2575,-0.7894,0.1482,-0.0379,0.0954,0.1099,-0.0703,0.0589,1600
RocketTile_109,0.0,56.0,128.0,32.0,2.0,24.0,4.0,1.0,32.0,2.0,32.0,3.0,37455.5938,37455.5938,37455.5938,37455.5938,37455.5938,41732000.0,18569000.0,26532000.0,41621000.0,18383000.0,26295000.0,37972000.0,16997000.0,24435000.0,41610000.0,17089000.0,25252000.0,41722000.0,18564000.0,26525000.0,0.0994,-0.0904,0.0237,0.1329,-0.071,0.0669,-0.5898,-1.3038,-0.8247,0.1553,-0.0483,0.0985,0.0969,-0.0869,0.0214,1600
