Design,Frequency,chipfinish_Cell_Area,chipfinish_Fast_Power,chipfinish_Fast_WNS,chipfinish_Slow_Power,chipfinish_Slow_WNS,chipfinish_Typical_Power,chipfinish_Typical_WNS,cts_Cell_Area,cts_Fast_Power,cts_Fast_WNS,cts_Slow_Power,cts_Slow_WNS,cts_Typical_Power,cts_Typical_WNS,floorplan_Cell_Area,floorplan_Fast_Power,floorplan_Fast_WNS,floorplan_Slow_Power,floorplan_Slow_WNS,floorplan_Typical_Power,floorplan_Typical_WNS,placement_Cell_Area,placement_Fast_Power,placement_Fast_WNS,placement_Slow_Power,placement_Slow_WNS,placement_Typical_Power,placement_Typical_WNS,route_Cell_Area,route_Fast_Power,route_Fast_WNS,route_Slow_Power,route_Slow_WNS,route_Typical_Power,route_Typical_WNS,xlen,decoders,lanes,decoder-at,dispatcher-at,relaxed-branch,relaxed-shift,relaxed-btb,with-mul,with-div,with-rvc,with-aligner-buffer,with-dispatcher-buffer,with-gshare,with-btb,with-ras,with-late-alu,btb-sets,btb-hash-width,regfile-async,allow-bypass-from,fetch-l1,lsu-l1,fetch-l1-sets,fetch-l1-ways,fetch-l1-mem-data-width-min,fetch-reduced-bank,lsu-l1-sets,lsu-l1-ways,lsu-l1-store-buffer-slots,lsu-l1-store-buffer-ops,lsu-l1-refill-count,lsu-l1-writeback-count,with-lsu-bypass,with-iterative-shift,div-radix,div-ipc
VexiiRiscv_31,400MHz,147100.2460,5.8342e+07,0.8521,1.5403e+07,-0.1106,2.6615e+07,0.5839,84340.6880,5.6672e+07,0.9288,1.4261e+07,0.0002,2.4866e+07,0.6319,82907.0100,3.5336e+09,-180.6875,7.3596e+08,-330.6496,1.4749e+09,-210.1229,83687.1400,3.2684e+08,0.7316,1.9417e+08,-0.0002,2.4551e+08,0.4592,84694.1240,5.8321e+07,0.9948,1.5399e+07,-0.0438,2.6606e+07,0.7045,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,4,3,2,0,4,2,2,0,1,1,1,0,1,1
VexiiRiscv_32,400MHz,5604.0940,2.8071e+06,1.1544,1.2385e+06,-0.0746,1.6988e+06,0.8311,3262.1470,2.7694e+06,1.1281,1.2199e+06,0.0002,1.6698e+06,0.7991,3263.9250,2.7471e+08,1.2628,1.8312e+08,-0.0217,2.2611e+08,0.8996,3250.3410,2.7429e+08,1.0910,1.8365e+08,0.0002,2.2608e+08,0.7571,3265.6350,2.8064e+06,1.1952,1.2382e+06,-0.0041,1.6984e+06,0.8730,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,3,1,3,0,3,0,2,4,0,0,1,1,0,1
VexiiRiscv_32,100MHz,5604.0940,1.1319e+06,7.8343,3.0667e+05,4.9970,4.7084e+05,7.1796,3291.3530,1.1167e+06,7.8644,3.0218e+05,5.2605,4.6276e+05,7.2153,3264.0750,6.9548e+07,8.7618,4.5781e+07,7.4928,5.6646e+07,8.3984,3243.9790,6.8943e+07,7.8075,4.6567e+07,5.5395,5.6561e+07,7.1584,3300.8200,1.1315e+06,7.9555,3.0658e+05,5.1851,4.7066e+05,7.3010,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,3,1,3,0,3,0,2,4,0,0,1,1,0,1
VexiiRiscv_32,800MHz,5816.2710,5.1252e+06,0.4802,2.5031e+06,-0.0473,3.3530e+06,0.3370,3459.8910,5.0364e+06,0.5058,2.4652e+06,0.0002,3.2929e+06,0.3557,3380.8210,5.4845e+08,0.3948,3.6625e+08,-0.3268,4.5210e+08,0.1763,3391.4500,5.4828e+08,0.4773,3.6643e+08,0.0001,4.5215e+08,0.3291,3472.6540,5.1236e+06,0.5266,2.5026e+06,-0.0224,3.3521e+06,0.3854,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,3,1,3,0,3,0,2,4,0,0,1,1,0,1
VexiiRiscv_33,400MHz,20040.7900,7.6580e+06,0.9912,2.7311e+06,-0.0645,4.0234e+06,0.7143,11545.2220,7.5443e+06,1.0450,2.6656e+06,0.0025,3.9212e+06,0.7508,11416.6850,2.8010e+08,1.0172,1.8418e+08,-0.4397,2.2804e+08,0.6144,11469.2710,2.7846e+08,0.9959,1.8476e+08,-0.0001,2.2782e+08,0.6937,11559.7370,7.6563e+06,1.1091,2.7306e+06,-0.0233,4.0225e+06,0.8185,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,4,0,1,1,1,1,5,2,0,0,6,2,2,3,0,0,1,0,0,0
VexiiRiscv_33,100MHz,20040.7900,3.3976e+06,7.2334,6.8874e+05,3.7724,1.1815e+06,6.4215,11492.0070,3.3748e+06,7.4167,6.7217e+05,4.2507,1.1573e+06,6.6366,11416.6850,7.2972e+07,8.5172,4.6047e+07,7.0603,5.7409e+07,8.1144,11438.5050,7.1017e+07,7.5504,4.6886e+07,5.0047,5.7111e+07,6.8256,11491.7340,3.3963e+06,7.5145,6.8850e+05,4.1393,1.1809e+06,6.7155,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,4,0,1,1,1,1,5,2,0,0,6,2,2,3,0,0,1,0,0,0
VexiiRiscv_33,800MHz,20222.1040,1.2867e+07,0.3996,5.6291e+06,-0.0528,7.8295e+06,0.2686,11881.4080,1.2582e+07,0.4323,5.4957e+06,0.0000,7.6206e+06,0.2886,11541.0910,5.5601e+08,0.3960,3.6837e+08,-0.2488,4.5549e+08,0.1965,11639.7780,5.5527e+08,0.4420,3.6864e+08,-0.0001,4.5552e+08,0.2975,11922.4350,1.2864e+07,0.4744,5.6281e+06,-0.0258,7.8277e+06,0.3331,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,4,0,1,1,1,1,5,2,0,0,6,2,2,3,0,0,1,0,0,0
VexiiRiscv_34,400MHz,51307.0040,1.7694e+07,0.9865,5.1629e+06,-0.0827,8.2043e+06,0.6971,29538.2660,1.7778e+07,1.0297,4.9939e+06,0.0002,8.0179e+06,0.7397,29077.1130,2.8935e+08,1.1375,1.8577e+08,-0.2518,2.3115e+08,0.7476,29291.8760,2.8718e+08,0.8850,1.8693e+08,-0.0000,2.3139e+08,0.6130,29684.1630,1.7688e+07,1.1117,5.1615e+06,-0.0038,8.2013e+06,0.8107,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,4,2,0,0,3,0,1,0,0,0,0,1,1,1
VexiiRiscv_34,800MHz,51596.8830,2.7626e+07,0.3659,1.0637e+07,-0.0562,1.5464e+07,0.2386,29988.0780,2.7819e+07,0.3654,1.0305e+07,0.0000,1.5132e+07,0.2450,29254.7750,5.6871e+08,0.2930,3.7153e+08,-0.4373,4.6097e+08,0.0838,29565.3250,5.6996e+08,0.4092,3.7290e+08,-0.0003,4.6246e+08,0.2750,30109.4740,2.7615e+07,0.4136,1.0635e+07,-0.0270,1.5459e+07,0.2838,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,4,2,0,0,3,0,1,0,0,0,0,1,1,1
VexiiRiscv_34,100MHz,51307.0040,9.3261e+06,6.7601,1.2810e+06,2.8053,2.6380e+06,5.8344,29604.6820,9.2600e+06,6.8683,1.2444e+06,3.0699,2.5763e+06,5.9393,29077.1130,7.9660e+07,8.6375,4.6445e+07,7.2482,5.8747e+07,8.2476,29286.7040,7.5791e+07,6.8054,4.7525e+07,3.7106,5.8279e+07,5.9181,29656.2290,9.3224e+06,7.0250,1.2804e+06,3.1080,2.6364e+06,6.1337,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,4,2,0,0,3,0,1,0,0,0,0,1,1,1
